ts,action,price,qty,notional_usd,pnl_usd,return_pct,reason_codes
1733479200,PROBE_BUY,1.2960119999999997e-06,77159779.3847588,100.0,0.0,0.0,BREAKOUT_CONFIRM
1733482800,EXIT_FULL,1.220884e-06,77159779.3847588,94.20314009438187,-5.796859905618135,-0.05796859905618135,TRAIL_STOP
1733731200,PROBE_BUY,1.2763259999999998e-06,78349888.66480821,100.0,0.0,0.0,BREAKOUT_CONFIRM
1733734800,ADD_BUY,1.6449539999999997e-06,182375920.54245898,300.0,0.0,0.0,ADD_TRIGGER
1733745600,EXIT_FULL,1.2993820000000001e-06,260725809.2072672,338.7824234193573,-61.217576580642685,-0.1530439414516067,TRAIL_STOP
1734184800,PROBE_BUY,5.2683e-07,189814551.18349373,100.0,0.0,0.0,BREAKOUT_CONFIRM
1734188400,ADD_BUY,7.421519999999999e-07,404229861.2683117,300.0,0.0,0.0,ADD_TRIGGER
1734202800,EXIT_FULL,7.43526e-07,594044412.4518054,441.68746581264105,41.68746581264105,0.10421866453160263,TRAIL_STOP
1734771600,PROBE_BUY,6.0588e-07,165049184.6570278,100.0,0.0,0.0,BREAKOUT_CONFIRM
1734786000,ADD_BUY,6.86256e-07,437154647.8282157,300.0,0.0,0.0,ADD_TRIGGER
1734847200,EXIT_FULL,7.66654e-07,602203832.4852436,461.6819769901419,61.68197699014189,0.15420494247535474,TRAIL_STOP
1735146000,PROBE_BUY,4.790939999999998e-07,208727306.1236418,100.0,0.0,0.0,BREAKOUT_CONFIRM
1735254000,EXIT_FULL,4.23262e-07,208727306.1236418,88.34633704450486,-11.653662955495136,-0.11653662955495137,PROGRESS_STOP
