ts,action,price,qty,notional_usd,pnl_usd,return_pct,reason_codes
1732075200,PROBE_BUY,2.7031631999999995e-05,3699369.68659532,100.0,0.0,0.0,BREAKOUT_CONFIRM
1732183200,EXIT_FULL,2.225335e-05,3699369.68659532,82.32336841519596,-17.676631584804042,-0.17676631584804042,PROGRESS_STOP
1732644000,PROBE_BUY,2.2810361999999994e-05,4383972.512141632,100.0,0.0,0.0,BREAKOUT_CONFIRM
1732752000,EXIT_FULL,2.1858508e-05,4383972.512141632,95.82709822842796,-4.172901771572043,-0.041729017715720435,PROGRESS_STOP
1733353200,PROBE_BUY,2.3957147999999996e-05,4174119.5571359335,100.0,0.0,0.0,BREAKOUT_CONFIRM
1733410800,EXIT_FULL,2.2708854e-05,4174119.5571359335,94.78947160154458,-5.210528398455423,-0.05210528398455423,TRAIL_STOP
1734267600,PROBE_BUY,2.5337921999999994e-05,3946653.557462211,100.0,0.0,0.0,BREAKOUT_CONFIRM
1734375600,EXIT_FULL,2.2728454000000002e-05,3946653.557462211,89.70133383471624,-10.298666165283763,-0.10298666165283762,PROGRESS_STOP
1734937200,PROBE_BUY,2.0796779999999996e-05,4808436.690680001,100.0,0.0,0.0,BREAKOUT_CONFIRM
1735012800,EXIT_FULL,1.9844314e-05,4808436.690680001,95.42012753897481,-4.5798724610251895,-0.0457987246102519,TRAIL_STOP
1735326000,PROBE_BUY,2.2905731999999997e-05,4365719.46270916,100.0,0.0,0.0,BREAKOUT_CONFIRM
1735376400,EXIT_FULL,2.0616945999999998e-05,4365719.46270916,90.00780241382375,-9.992197586176246,-0.09992197586176246,TRAIL_STOP
